Date,Document,Supplier Name,Payment Ref #Invoice number,Description,Debit (Amount Owed),Credit (Payments/Credit Notes Applied)
9/3/2024,Invoice,Total,PINV2306,Gasoline Delivery,29500.0,
9/3/2024,Payment,Engen,PAY_PINV2306,Payment for PINV2306,,29500.0
9/3/2024,Invoice,Total,PINV2396,Gasoline Delivery,29000.0,
9/3/2024,Payment,Engen,PAY_PINV2396,Payment for PINV2396,,29000.0
9/3/2024,Invoice,Total,PINV2140,Diesel Delivery,30000.0,
9/3/2024,Payment,Engen,PAY_PINV2140,Payment for PINV2140,,30000.0
9/3/2024,Invoice,Total,PINV2457,Diesel Delivery,36000.0,
9/3/2024,Payment,Engen,PAY_PINV2457,Payment for PINV2457,,36000.0
9/3/2024,Invoice,Total,PINV2308,Diesel Delivery,38400.0,
9/3/2024,Payment,Engen,PAY_PINV2308,Payment for PINV2308,,38400.0
9/3/2024,Invoice,Total,PINV2116,Gasoline Delivery,19950.0,
9/3/2024,Payment,Engen,PAY_PINV2116,Payment for PINV2116,,19950.0
9/4/2024,Invoice,Total,PINV2047,Gasoline Delivery,27750.0,
9/4/2024,Payment,Engen,PAY_PINV2047,Payment for PINV2047,,27750.0
9/4/2024,Invoice,Total,PINV2430,Diesel Delivery,32700.0,
9/4/2024,Payment,Engen,PAY_PINV2430,Payment for PINV2430,,32700.0
9/5/2024,Invoice,Total,PINV2447,Gasoline Delivery,40500.0,
9/5/2024,Payment,Engen,PAY_PINV2447,Payment for PINV2447,,40500.0
9/5/2024,Invoice,Total,PINV2122,Gasoline Delivery,39900.0,
9/5/2024,Payment,Engen,PAY_PINV2122,Payment for PINV2122,,39900.0
9/5/2024,Invoice,Total,PINV2459,Gasoline Delivery,24600.0,
9/5/2024,Payment,Engen,PAY_PINV2459,Payment for PINV2459,,24600.0
9/6/2024,Invoice,Total,PINV2230,Diesel Delivery,19350.0,
9/6/2024,Payment,Engen,PAY_PINV2230,Payment for PINV2230,,19350.0
9/6/2024,Invoice,Total,PINV2180,Gasoline Delivery,19500.0,
9/6/2024,Payment,Engen,PAY_PINV2180,Payment for PINV2180,,19500.0
9/6/2024,Invoice,Total,PINV2298,Gasoline Delivery,22800.0,
9/6/2024,Payment,Engen,PAY_PINV2298,Payment for PINV2298,,22800.0
9/7/2024,Invoice,Total,PINV2077,Gasoline Delivery,18150.0,
9/7/2024,Payment,Engen,PAY_PINV2077,Payment for PINV2077,,18150.0
9/7/2024,Invoice,Total,PINV2441,Gasoline Delivery,19650.0,
9/7/2024,Payment,Engen,PAY_PINV2441,Payment for PINV2441,,19650.0
9/7/2024,Invoice,Total,PINV2200,Diesel Delivery,32000.0,
9/7/2024,Payment,Engen,PAY_PINV2200,Payment for PINV2200,,32000.0
9/7/2024,Invoice,Total,PINV2310,Gasoline Delivery,29000.0,
9/7/2024,Payment,Engen,PAY_PINV2310,Payment for PINV2310,,29000.0
9/7/2024,Invoice,Total,PINV2087,Diesel Delivery,19050.0,
9/7/2024,Payment,Engen,PAY_PINV2087,Payment for PINV2087,,19050.0
9/8/2024,Invoice,Total,PINV2353,Gasoline Delivery,19500.0,
9/8/2024,Payment,Engen,PAY_PINV2353,Payment for PINV2353,,19500.0
9/8/2024,Invoice,Total,PINV2419,Gasoline Delivery,23600.0,
9/8/2024,Payment,Engen,PAY_PINV2419,Payment for PINV2419,,23600.0
9/8/2024,Invoice,Total,PINV2436,Diesel Delivery,18150.0,
9/8/2024,Payment,Engen,PAY_PINV2436,Payment for PINV2436,,18150.0
9/8/2024,Invoice,Total,PINV2444,Gasoline Delivery,24000.0,
9/8/2024,Payment,Engen,PAY_PINV2444,Payment for PINV2444,,24000.0
9/9/2024,Invoice,Total,PINV2328,Diesel Delivery,33900.0,
9/9/2024,Payment,Engen,PAY_PINV2328,Payment for PINV2328,,33900.0
9/9/2024,Invoice,Total,PINV2411,Diesel Delivery,28500.0,
9/9/2024,Payment,Engen,PAY_PINV2411,Payment for PINV2411,,28500.0
9/9/2024,Invoice,Total,PINV2202,Diesel Delivery,32250.0,
9/9/2024,Payment,Engen,PAY_PINV2202,Payment for PINV2202,,32250.0
9/10/2024,Invoice,Total,PINV2380,Diesel Delivery,32250.0,
9/10/2024,Payment,Engen,PAY_PINV2380,Payment for PINV2380,,32250.0
9/10/2024,Invoice,Total,PINV2096,Gasoline Delivery,25400.0,
9/10/2024,Payment,Engen,PAY_PINV2096,Payment for PINV2096,,25400.0
9/10/2024,Invoice,Total,PINV2082,Gasoline Delivery,29750.0,
9/10/2024,Payment,Engen,PAY_PINV2082,Payment for PINV2082,,29750.0
9/10/2024,Invoice,Total,PINV2552,Gasoline Delivery,17850.0,
9/10/2024,Payment,Engen,PAY_PINV2552,Payment for PINV2552,,17850.0
9/10/2024,Invoice,Total,PINV2299,Gasoline Delivery,32250.0,
9/10/2024,Payment,Engen,PAY_PINV2299,Payment for PINV2299,,32250.0
9/10/2024,Invoice,Total,PINV2370,Gasoline Delivery,35400.0,
9/10/2024,Payment,Engen,PAY_PINV2370,Payment for PINV2370,,35400.0
9/10/2024,Invoice,Total,PINV2289,Gasoline Delivery,30250.0,
9/10/2024,Payment,Engen,PAY_PINV2289,Payment for PINV2289,,30250.0
9/10/2024,Invoice,Total,PINV2077,Diesel Delivery,25400.0,
9/10/2024,Payment,Engen,PAY_PINV2077,Payment for PINV2077,,25400.0
9/11/2024,Invoice,Total,PINV2407,Diesel Delivery,17700.0,
9/11/2024,Payment,Engen,PAY_PINV2407,Payment for PINV2407,,17700.0
9/11/2024,Invoice,Total,PINV2093,Gasoline Delivery,23600.0,
9/11/2024,Payment,Engen,PAY_PINV2093,Payment for PINV2093,,23600.0
9/11/2024,Invoice,Total,PINV2403,Diesel Delivery,33600.0,
9/11/2024,Payment,Engen,PAY_PINV2403,Payment for PINV2403,,33600.0
9/11/2024,Invoice,Total,PINV2042,Diesel Delivery,23200.0,
9/11/2024,Payment,Engen,PAY_PINV2042,Payment for PINV2042,,23200.0
9/11/2024,Invoice,Total,PINV2386,Gasoline Delivery,25200.0,
9/11/2024,Payment,Engen,PAY_PINV2386,Payment for PINV2386,,25200.0
9/11/2024,Invoice,Total,PINV2544,Gasoline Delivery,23800.0,
9/11/2024,Payment,Engen,PAY_PINV2544,Payment for PINV2544,,23800.0
9/12/2024,Invoice,Total,PINV2537,Gasoline Delivery,26400.0,
9/12/2024,Payment,Engen,PAY_PINV2537,Payment for PINV2537,,26400.0
9/12/2024,Invoice,Total,PINV2377,Gasoline Delivery,33750.0,
9/12/2024,Payment,Engen,PAY_PINV2377,Payment for PINV2377,,33750.0
9/13/2024,Invoice,Total,PINV2350,Gasoline Delivery,36300.0,
9/13/2024,Payment,Engen,PAY_PINV2350,Payment for PINV2350,,36300.0
9/13/2024,Invoice,Total,PINV2063,Diesel Delivery,22400.0,
9/13/2024,Payment,Engen,PAY_PINV2063,Payment for PINV2063,,22400.0
9/13/2024,Invoice,Total,PINV2149,Diesel Delivery,32100.0,
9/13/2024,Payment,Engen,PAY_PINV2149,Payment for PINV2149,,32100.0
9/13/2024,Invoice,Total,PINV2392,Diesel Delivery,21600.0,
9/13/2024,Payment,Engen,PAY_PINV2392,Payment for PINV2392,,21600.0
9/13/2024,Invoice,Total,PINV2026,Diesel Delivery,32250.0,
9/13/2024,Payment,Engen,PAY_PINV2026,Payment for PINV2026,,32250.0
9/13/2024,Invoice,Total,PINV2219,Diesel Delivery,33000.0,
9/13/2024,Payment,Engen,PAY_PINV2219,Payment for PINV2219,,33000.0
9/14/2024,Invoice,Total,PINV2455,Gasoline Delivery,39000.0,
9/14/2024,Payment,Engen,PAY_PINV2455,Payment for PINV2455,,39000.0
9/14/2024,Invoice,Total,PINV2474,Gasoline Delivery,23000.0,
9/14/2024,Payment,Engen,PAY_PINV2474,Payment for PINV2474,,23000.0
9/14/2024,Invoice,Total,PINV2059,Gasoline Delivery,36900.0,
9/14/2024,Payment,Engen,PAY_PINV2059,Payment for PINV2059,,36900.0
9/14/2024,Invoice,Total,PINV2355,Diesel Delivery,21600.0,
9/14/2024,Payment,Engen,PAY_PINV2355,Payment for PINV2355,,21600.0
9/14/2024,Invoice,Total,PINV2377,Diesel Delivery,38700.0,
9/14/2024,Payment,Engen,PAY_PINV2377,Payment for PINV2377,,38700.0
9/14/2024,Invoice,Total,PINV2437,Diesel Delivery,34500.0,
9/14/2024,Payment,Engen,PAY_PINV2437,Payment for PINV2437,,34500.0
9/14/2024,Invoice,Total,PINV2442,Diesel Delivery,29000.0,
9/14/2024,Payment,Engen,PAY_PINV2442,Payment for PINV2442,,29000.0
9/15/2024,Invoice,Total,PINV2247,Diesel Delivery,19500.0,
9/15/2024,Payment,Engen,PAY_PINV2247,Payment for PINV2247,,19500.0
9/15/2024,Invoice,Total,PINV2394,Diesel Delivery,28000.0,
9/15/2024,Payment,Engen,PAY_PINV2394,Payment for PINV2394,,28000.0
9/15/2024,Invoice,Total,PINV2248,Gasoline Delivery,18000.0,
9/15/2024,Payment,Engen,PAY_PINV2248,Payment for PINV2248,,18000.0
9/15/2024,Invoice,Total,PINV2433,Diesel Delivery,25000.0,
9/15/2024,Payment,Engen,PAY_PINV2433,Payment for PINV2433,,25000.0
9/15/2024,Invoice,Total,PINV2042,Gasoline Delivery,38700.0,
9/15/2024,Payment,Engen,PAY_PINV2042,Payment for PINV2042,,38700.0
9/15/2024,Invoice,Total,PINV2534,Gasoline Delivery,24400.0,
9/15/2024,Payment,Engen,PAY_PINV2534,Payment for PINV2534,,24400.0
9/16/2024,Invoice,Total,PINV2011,Diesel Delivery,25800.0,
9/16/2024,Payment,Engen,PAY_PINV2011,Payment for PINV2011,,25800.0
9/16/2024,Invoice,Total,PINV2146,Diesel Delivery,17100.0,
9/16/2024,Payment,Engen,PAY_PINV2146,Payment for PINV2146,,17100.0
9/16/2024,Invoice,Total,PINV2004,Diesel Delivery,22200.0,
9/16/2024,Payment,Engen,PAY_PINV2004,Payment for PINV2004,,22200.0
9/16/2024,Invoice,Total,PINV2458,Gasoline Delivery,29000.0,
9/16/2024,Payment,Engen,PAY_PINV2458,Payment for PINV2458,,29000.0
9/16/2024,Invoice,Total,PINV2145,Gasoline Delivery,25200.0,
9/16/2024,Payment,Engen,PAY_PINV2145,Payment for PINV2145,,25200.0
9/16/2024,Invoice,Total,PINV2133,Gasoline Delivery,23000.0,
9/16/2024,Payment,Engen,PAY_PINV2133,Payment for PINV2133,,23000.0
9/17/2024,Invoice,Total,PINV2334,Diesel Delivery,30750.0,
9/17/2024,Payment,Engen,PAY_PINV2334,Payment for PINV2334,,30750.0
9/17/2024,Invoice,Total,PINV2148,Gasoline Delivery,37500.0,
9/17/2024,Payment,Engen,PAY_PINV2148,Payment for PINV2148,,37500.0
9/17/2024,Invoice,Total,PINV2213,Diesel Delivery,21400.0,
9/17/2024,Payment,Engen,PAY_PINV2213,Payment for PINV2213,,21400.0
9/17/2024,Invoice,Total,PINV2357,Gasoline Delivery,31000.0,
9/17/2024,Payment,Engen,PAY_PINV2357,Payment for PINV2357,,31000.0
9/17/2024,Invoice,Total,PINV2469,Gasoline Delivery,39900.0,
9/17/2024,Payment,Engen,PAY_PINV2469,Payment for PINV2469,,39900.0
9/17/2024,Invoice,Total,PINV2321,Diesel Delivery,21400.0,
9/17/2024,Payment,Engen,PAY_PINV2321,Payment for PINV2321,,21400.0
9/17/2024,Invoice,Total,PINV2362,Diesel Delivery,16650.0,
9/17/2024,Payment,Engen,PAY_PINV2362,Payment for PINV2362,,16650.0
9/17/2024,Invoice,Total,PINV2497,Gasoline Delivery,32500.0,
9/17/2024,Payment,Engen,PAY_PINV2497,Payment for PINV2497,,32500.0
9/17/2024,Invoice,Total,PINV2156,Gasoline Delivery,34200.0,
9/17/2024,Payment,Engen,PAY_PINV2156,Payment for PINV2156,,34200.0
9/18/2024,Invoice,Total,PINV2138,Diesel Delivery,30000.0,
9/18/2024,Payment,Engen,PAY_PINV2138,Payment for PINV2138,,30000.0
9/18/2024,Invoice,Total,PINV2369,Diesel Delivery,34500.0,
9/18/2024,Payment,Engen,PAY_PINV2369,Payment for PINV2369,,34500.0
9/18/2024,Invoice,Total,PINV2559,Gasoline Delivery,35400.0,
9/18/2024,Payment,Engen,PAY_PINV2559,Payment for PINV2559,,35400.0
9/18/2024,Invoice,Total,PINV2404,Diesel Delivery,22400.0,
9/18/2024,Payment,Engen,PAY_PINV2404,Payment for PINV2404,,22400.0
9/19/2024,Invoice,Total,PINV2547,Gasoline Delivery,20250.0,
9/19/2024,Payment,Engen,PAY_PINV2547,Payment for PINV2547,,20250.0
9/19/2024,Invoice,Total,PINV2139,Diesel Delivery,31250.0,
9/19/2024,Payment,Engen,PAY_PINV2139,Payment for PINV2139,,31250.0
9/19/2024,Invoice,Total,PINV2527,Gasoline Delivery,25600.0,
9/19/2024,Payment,Engen,PAY_PINV2527,Payment for PINV2527,,25600.0
9/20/2024,Invoice,Total,PINV2363,Diesel Delivery,23600.0,
9/20/2024,Payment,Engen,PAY_PINV2363,Payment for PINV2363,,23600.0
9/20/2024,Invoice,Total,PINV2141,Diesel Delivery,37200.0,
9/20/2024,Payment,Engen,PAY_PINV2141,Payment for PINV2141,,37200.0
9/20/2024,Invoice,Total,PINV2097,Diesel Delivery,32250.0,
9/20/2024,Payment,Engen,PAY_PINV2097,Payment for PINV2097,,32250.0
9/20/2024,Invoice,Total,PINV2257,Diesel Delivery,36000.0,
9/20/2024,Payment,Engen,PAY_PINV2257,Payment for PINV2257,,36000.0
9/20/2024,Invoice,Total,PINV2163,Gasoline Delivery,25200.0,
9/20/2024,Payment,Engen,PAY_PINV2163,Payment for PINV2163,,25200.0
9/21/2024,Invoice,Total,PINV2086,Gasoline Delivery,37800.0,
9/21/2024,Payment,Engen,PAY_PINV2086,Payment for PINV2086,,37800.0
9/21/2024,Invoice,Total,PINV2303,Gasoline Delivery,22200.0,
9/21/2024,Payment,Engen,PAY_PINV2303,Payment for PINV2303,,22200.0
9/21/2024,Invoice,Total,PINV2494,Gasoline Delivery,25600.0,
9/21/2024,Payment,Engen,PAY_PINV2494,Payment for PINV2494,,25600.0
9/21/2024,Invoice,Total,PINV2465,Gasoline Delivery,24400.0,
9/21/2024,Payment,Engen,PAY_PINV2465,Payment for PINV2465,,24400.0
9/21/2024,Invoice,Total,PINV2235,Diesel Delivery,19200.0,
9/21/2024,Payment,Engen,PAY_PINV2235,Payment for PINV2235,,19200.0
9/21/2024,Invoice,Total,PINV2431,Gasoline Delivery,23200.0,
9/21/2024,Payment,Engen,PAY_PINV2431,Payment for PINV2431,,23200.0
9/21/2024,Invoice,Total,PINV2366,Diesel Delivery,22800.0,
9/21/2024,Payment,Engen,PAY_PINV2366,Payment for PINV2366,,22800.0
9/22/2024,Invoice,Total,PINV2208,Gasoline Delivery,24800.0,
9/22/2024,Payment,Engen,PAY_PINV2208,Payment for PINV2208,,24800.0
9/22/2024,Invoice,Total,PINV2119,Gasoline Delivery,27750.0,
9/22/2024,Payment,Engen,PAY_PINV2119,Payment for PINV2119,,27750.0
9/22/2024,Invoice,Total,PINV2256,Gasoline Delivery,34500.0,
9/22/2024,Payment,Engen,PAY_PINV2256,Payment for PINV2256,,34500.0
9/22/2024,Invoice,Total,PINV2428,Gasoline Delivery,17550.0,
9/22/2024,Payment,Engen,PAY_PINV2428,Payment for PINV2428,,17550.0
9/22/2024,Invoice,Total,PINV2401,Diesel Delivery,28500.0,
9/22/2024,Payment,Engen,PAY_PINV2401,Payment for PINV2401,,28500.0
9/23/2024,Invoice,Total,PINV2019,Gasoline Delivery,24200.0,
9/23/2024,Payment,Engen,PAY_PINV2019,Payment for PINV2019,,24200.0
9/23/2024,Invoice,Total,PINV2064,Diesel Delivery,21200.0,
9/23/2024,Payment,Engen,PAY_PINV2064,Payment for PINV2064,,21200.0
9/23/2024,Invoice,Total,PINV2486,Gasoline Delivery,39300.0,
9/23/2024,Payment,Engen,PAY_PINV2486,Payment for PINV2486,,39300.0
9/23/2024,Invoice,Total,PINV2075,Diesel Delivery,25800.0,
9/23/2024,Payment,Engen,PAY_PINV2075,Payment for PINV2075,,25800.0
9/23/2024,Invoice,Total,PINV2111,Gasoline Delivery,27500.0,
9/23/2024,Payment,Engen,PAY_PINV2111,Payment for PINV2111,,27500.0
9/23/2024,Invoice,Total,PINV2425,Diesel Delivery,25000.0,
9/23/2024,Payment,Engen,PAY_PINV2425,Payment for PINV2425,,25000.0
9/23/2024,Invoice,Total,PINV2266,Gasoline Delivery,22800.0,
9/23/2024,Payment,Engen,PAY_PINV2266,Payment for PINV2266,,22800.0
9/24/2024,Invoice,Total,PINV2484,Gasoline Delivery,32250.0,
9/24/2024,Payment,Engen,PAY_PINV2484,Payment for PINV2484,,32250.0
9/24/2024,Invoice,Total,PINV2125,Diesel Delivery,17250.0,
9/24/2024,Payment,Engen,PAY_PINV2125,Payment for PINV2125,,17250.0
9/24/2024,Invoice,Total,PINV2152,Gasoline Delivery,19650.0,
9/24/2024,Payment,Engen,PAY_PINV2152,Payment for PINV2152,,19650.0
9/24/2024,Invoice,Total,PINV2375,Gasoline Delivery,28750.0,
9/24/2024,Payment,Engen,PAY_PINV2375,Payment for PINV2375,,28750.0
9/24/2024,Invoice,Total,PINV2334,Gasoline Delivery,19500.0,
9/24/2024,Payment,Engen,PAY_PINV2334,Payment for PINV2334,,19500.0
9/24/2024,Invoice,Total,PINV2403,Gasoline Delivery,29500.0,
9/24/2024,Payment,Engen,PAY_PINV2403,Payment for PINV2403,,29500.0
9/25/2024,Invoice,Total,PINV2328,Gasoline Delivery,30000.0,
9/25/2024,Payment,Engen,PAY_PINV2328,Payment for PINV2328,,30000.0
9/25/2024,Invoice,Total,PINV2414,Diesel Delivery,36900.0,
9/25/2024,Payment,Engen,PAY_PINV2414,Payment for PINV2414,,36900.0
9/25/2024,Invoice,Total,PINV2471,Gasoline Delivery,34200.0,
9/25/2024,Payment,Engen,PAY_PINV2471,Payment for PINV2471,,34200.0
9/25/2024,Invoice,Total,PINV2315,Gasoline Delivery,20100.0,
9/25/2024,Payment,Engen,PAY_PINV2315,Payment for PINV2315,,20100.0
9/26/2024,Invoice,Total,PINV2412,Gasoline Delivery,23600.0,
9/26/2024,Payment,Engen,PAY_PINV2412,Payment for PINV2412,,23600.0
9/26/2024,Invoice,Total,PINV2420,Gasoline Delivery,36300.0,
9/26/2024,Payment,Engen,PAY_PINV2420,Payment for PINV2420,,36300.0
9/26/2024,Invoice,Total,PINV2304,Gasoline Delivery,22200.0,
9/26/2024,Payment,Engen,PAY_PINV2304,Payment for PINV2304,,22200.0
9/26/2024,Invoice,Total,PINV2035,Diesel Delivery,32400.0,
9/26/2024,Payment,Engen,PAY_PINV2035,Payment for PINV2035,,32400.0
9/27/2024,Invoice,Total,PINV2165,Diesel Delivery,25800.0,
9/27/2024,Payment,Engen,PAY_PINV2165,Payment for PINV2165,,25800.0
9/28/2024,Invoice,Total,PINV2182,Diesel Delivery,18150.0,
9/28/2024,Payment,Engen,PAY_PINV2182,Payment for PINV2182,,18150.0
9/28/2024,Invoice,Total,PINV2237,Diesel Delivery,25600.0,
9/28/2024,Payment,Engen,PAY_PINV2237,Payment for PINV2237,,25600.0
9/28/2024,Invoice,Total,PINV2061,Gasoline Delivery,19500.0,
9/28/2024,Payment,Engen,PAY_PINV2061,Payment for PINV2061,,19500.0
9/28/2024,Invoice,Total,PINV2088,Diesel Delivery,21400.0,
9/28/2024,Payment,Engen,PAY_PINV2088,Payment for PINV2088,,21400.0
9/28/2024,Invoice,Total,PINV2132,Diesel Delivery,37200.0,
9/28/2024,Payment,Engen,PAY_PINV2132,Payment for PINV2132,,37200.0
9/28/2024,Invoice,Total,PINV2385,Gasoline Delivery,24800.0,
9/28/2024,Payment,Engen,PAY_PINV2385,Payment for PINV2385,,24800.0
9/29/2024,Invoice,Total,PINV2154,Gasoline Delivery,32250.0,
9/29/2024,Payment,Engen,PAY_PINV2154,Payment for PINV2154,,32250.0
9/29/2024,Invoice,Total,PINV2407,Gasoline Delivery,23800.0,
9/29/2024,Payment,Engen,PAY_PINV2407,Payment for PINV2407,,23800.0
9/29/2024,Invoice,Total,PINV2362,Gasoline Delivery,37800.0,
9/29/2024,Payment,Engen,PAY_PINV2362,Payment for PINV2362,,37800.0
9/29/2024,Invoice,Total,PINV2211,Diesel Delivery,16650.0,
9/29/2024,Payment,Engen,PAY_PINV2211,Payment for PINV2211,,16650.0
9/29/2024,Invoice,Total,PINV2253,Diesel Delivery,19350.0,
9/29/2024,Payment,Engen,PAY_PINV2253,Payment for PINV2253,,19350.0
9/30/2024,Invoice,Total,PINV2131,Gasoline Delivery,31500.0,
9/30/2024,Payment,Engen,PAY_PINV2131,Payment for PINV2131,,31500.0
9/30/2024,Invoice,Total,PINV2179,Gasoline Delivery,19800.0,
9/30/2024,Payment,Engen,PAY_PINV2179,Payment for PINV2179,,19800.0
9/30/2024,Invoice,Total,PINV2220,Diesel Delivery,28000.0,
9/30/2024,Payment,Engen,PAY_PINV2220,Payment for PINV2220,,28000.0
9/30/2024,Invoice,Total,PINV2162,Gasoline Delivery,18900.0,
9/30/2024,Payment,Engen,PAY_PINV2162,Payment for PINV2162,,18900.0
9/30/2024,Invoice,Total,PINV2016,Diesel Delivery,16050.0,
9/30/2024,Payment,Engen,PAY_PINV2016,Payment for PINV2016,,16050.0
9/30/2024,Invoice,Total,PINV2398,Diesel Delivery,17250.0,
9/30/2024,Payment,Engen,PAY_PINV2398,Payment for PINV2398,,17250.0
9/30/2024,Invoice,Total,PINV2206,Diesel Delivery,36600.0,
9/30/2024,Payment,Engen,PAY_PINV2206,Payment for PINV2206,,36600.0
10/1/2024,Invoice,Total,PINV2012,Gasoline Delivery,18900.0,
10/1/2024,Payment,Engen,PAY_PINV2012,Payment for PINV2012,,18900.0
10/1/2024,Invoice,Total,PINV2173,Diesel Delivery,16050.0,
10/1/2024,Payment,Engen,PAY_PINV2173,Payment for PINV2173,,16050.0
10/1/2024,Invoice,Total,PINV2287,Gasoline Delivery,33000.0,
10/1/2024,Payment,Engen,PAY_PINV2287,Payment for PINV2287,,33000.0
10/1/2024,Invoice,Total,PINV2421,Gasoline Delivery,17850.0,
10/1/2024,Payment,Engen,PAY_PINV2421,Payment for PINV2421,,17850.0
10/1/2024,Invoice,Total,PINV2045,Gasoline Delivery,19050.0,
10/1/2024,Payment,Engen,PAY_PINV2045,Payment for PINV2045,,19050.0
10/1/2024,Invoice,Total,PINV2461,Diesel Delivery,32100.0,
10/1/2024,Payment,Engen,PAY_PINV2461,Payment for PINV2461,,32100.0
10/1/2024,Invoice,Total,PINV2192,Diesel Delivery,18150.0,
10/1/2024,Payment,Engen,PAY_PINV2192,Payment for PINV2192,,18150.0
10/2/2024,Invoice,Total,PINV2282,Diesel Delivery,36600.0,
10/2/2024,Payment,Engen,PAY_PINV2282,Payment for PINV2282,,36600.0
10/2/2024,Invoice,Total,PINV2068,Gasoline Delivery,32500.0,
10/2/2024,Payment,Engen,PAY_PINV2068,Payment for PINV2068,,32500.0
10/2/2024,Invoice,Total,PINV2201,Diesel Delivery,19050.0,
10/2/2024,Payment,Engen,PAY_PINV2201,Payment for PINV2201,,19050.0
10/2/2024,Invoice,Total,PINV2206,Gasoline Delivery,24600.0,
10/2/2024,Payment,Engen,PAY_PINV2206,Payment for PINV2206,,24600.0
10/2/2024,Invoice,Total,PINV2439,Gasoline Delivery,17550.0,
10/2/2024,Payment,Engen,PAY_PINV2439,Payment for PINV2439,,17550.0
10/2/2024,Invoice,Total,PINV2124,Gasoline Delivery,35100.0,
10/2/2024,Payment,Engen,PAY_PINV2124,Payment for PINV2124,,35100.0
10/2/2024,Invoice,Total,PINV2217,Gasoline Delivery,33500.0,
10/2/2024,Payment,Engen,PAY_PINV2217,Payment for PINV2217,,33500.0
10/2/2024,Invoice,Total,PINV2329,Diesel Delivery,22800.0,
10/2/2024,Payment,Engen,PAY_PINV2329,Payment for PINV2329,,22800.0
10/3/2024,Invoice,Total,PINV2364,Diesel Delivery,21800.0,
10/3/2024,Payment,Engen,PAY_PINV2364,Payment for PINV2364,,21800.0
10/3/2024,Invoice,Total,PINV2105,Diesel Delivery,35400.0,
10/3/2024,Payment,Engen,PAY_PINV2105,Payment for PINV2105,,35400.0
10/3/2024,Invoice,Total,PINV2264,Gasoline Delivery,19800.0,
10/3/2024,Payment,Engen,PAY_PINV2264,Payment for PINV2264,,19800.0
10/3/2024,Invoice,Total,PINV2180,Diesel Delivery,16500.0,
10/3/2024,Payment,Engen,PAY_PINV2180,Payment for PINV2180,,16500.0
10/3/2024,Invoice,Total,PINV2196,Diesel Delivery,24000.0,
10/3/2024,Payment,Engen,PAY_PINV2196,Payment for PINV2196,,24000.0
10/4/2024,Invoice,Total,PINV2381,Gasoline Delivery,36900.0,
10/4/2024,Payment,Engen,PAY_PINV2381,Payment for PINV2381,,36900.0
10/4/2024,Invoice,Total,PINV2217,Diesel Delivery,35100.0,
10/4/2024,Payment,Engen,PAY_PINV2217,Payment for PINV2217,,35100.0
10/4/2024,Invoice,Total,PINV2424,Gasoline Delivery,31750.0,
10/4/2024,Payment,Engen,PAY_PINV2424,Payment for PINV2424,,31750.0
10/4/2024,Invoice,Total,PINV2259,Diesel Delivery,17100.0,
10/4/2024,Payment,Engen,PAY_PINV2259,Payment for PINV2259,,17100.0
10/4/2024,Invoice,Total,PINV2017,Gasoline Delivery,33250.0,
10/4/2024,Payment,Engen,PAY_PINV2017,Payment for PINV2017,,33250.0
10/5/2024,Invoice,Total,PINV2246,Diesel Delivery,18150.0,
10/5/2024,Payment,Engen,PAY_PINV2246,Payment for PINV2246,,18150.0
10/5/2024,Invoice,Total,PINV2250,Gasoline Delivery,22400.0,
10/5/2024,Payment,Engen,PAY_PINV2250,Payment for PINV2250,,22400.0
10/5/2024,Invoice,Total,PINV2065,Gasoline Delivery,22000.0,
10/5/2024,Payment,Engen,PAY_PINV2065,Payment for PINV2065,,22000.0
10/5/2024,Invoice,Total,PINV2135,Diesel Delivery,30750.0,
10/5/2024,Payment,Engen,PAY_PINV2135,Payment for PINV2135,,30750.0
10/5/2024,Invoice,Total,PINV2072,Diesel Delivery,24200.0,
10/5/2024,Payment,Engen,PAY_PINV2072,Payment for PINV2072,,24200.0
10/6/2024,Invoice,Total,PINV2427,Diesel Delivery,32250.0,
10/6/2024,Payment,Engen,PAY_PINV2427,Payment for PINV2427,,32250.0
10/6/2024,Invoice,Total,PINV2125,Gasoline Delivery,26200.0,
10/6/2024,Payment,Engen,PAY_PINV2125,Payment for PINV2125,,26200.0
10/6/2024,Invoice,Total,PINV2005,Diesel Delivery,25200.0,
10/6/2024,Payment,Engen,PAY_PINV2005,Payment for PINV2005,,25200.0
10/6/2024,Invoice,Total,PINV2522,Gasoline Delivery,36900.0,
10/6/2024,Payment,Engen,PAY_PINV2522,Payment for PINV2522,,36900.0
10/7/2024,Invoice,Total,PINV2121,Diesel Delivery,27750.0,
10/7/2024,Payment,Engen,PAY_PINV2121,Payment for PINV2121,,27750.0
10/7/2024,Invoice,Total,PINV2330,Gasoline Delivery,17550.0,
10/7/2024,Payment,Engen,PAY_PINV2330,Payment for PINV2330,,17550.0
10/7/2024,Invoice,Total,PINV2194,Gasoline Delivery,31500.0,
10/7/2024,Payment,Engen,PAY_PINV2194,Payment for PINV2194,,31500.0
10/7/2024,Invoice,Total,PINV2117,Gasoline Delivery,28250.0,
10/7/2024,Payment,Engen,PAY_PINV2117,Payment for PINV2117,,28250.0
10/7/2024,Invoice,Total,PINV2086,Diesel Delivery,31800.0,
10/7/2024,Payment,Engen,PAY_PINV2086,Payment for PINV2086,,31800.0
10/8/2024,Invoice,Total,PINV2233,Diesel Delivery,19500.0,
